URL,ZIP Value
https://www.cars.com/shopping/albany-ny/,12206
https://www.cars.com/shopping/albuquerque-nm/,87151
https://www.cars.com/shopping/anchorage-ak/,99577
https://www.cars.com/shopping/arlington-tx/,76015
https://www.cars.com/shopping/asheville-nc/,28815
https://www.cars.com/shopping/athens-ga/,30602
https://www.cars.com/shopping/atlanta-ga/,30371
https://www.cars.com/shopping/austin-tx/,78763
https://www.cars.com/shopping/bakersfield-ca/,93304
https://www.cars.com/shopping/ballwin-mo/,63022
https://www.cars.com/shopping/baltimore-md/,21298
https://www.cars.com/shopping/baton_rouge-la/,70822
https://www.cars.com/shopping/baytown-tx/,77522
https://www.cars.com/shopping/bedford-oh/,44146
https://www.cars.com/shopping/bellevue-wa/,98007
https://www.cars.com/shopping/birmingham-al/,35259
https://www.cars.com/shopping/boise-id/,83756
https://www.cars.com/shopping/brandon-ms/,39043
https://www.cars.com/shopping/brooklyn-ny/,11226
https://www.cars.com/shopping/buena_park-ca/,90624
https://www.cars.com/shopping/centennial-co/,80155
https://www.cars.com/shopping/center_line-mi/,48015
https://www.cars.com/shopping/cerritos-ca/,90703
https://www.cars.com/shopping/charlotte-nc/,28230
https://www.cars.com/shopping/chattanooga-tn/,37406
https://www.cars.com/shopping/chicago-il/,60608
https://www.cars.com/shopping/cincinnati-oh/,45275
https://www.cars.com/shopping/cleveland-oh/,44197
https://www.cars.com/shopping/colorado_springs-co/,80941
https://www.cars.com/shopping/columbia-sc/,29219
https://www.cars.com/shopping/columbus-oh/,43201
https://www.cars.com/shopping/concord-ca/,94519
https://www.cars.com/shopping/conway-ar/,72035
https://www.cars.com/shopping/corpus_christi-tx/,78411
https://www.cars.com/shopping/dallas-tx/,75371
https://www.cars.com/shopping/danvers-ma/,01923
https://www.cars.com/shopping/denver-co/,80238
https://www.cars.com/shopping/des_moines-ia/,50393
https://www.cars.com/shopping/el_cajon-ca/,92020
https://www.cars.com/shopping/el_paso-tx/,79996
https://www.cars.com/shopping/elk_grove-ca/,95759
https://www.cars.com/shopping/englewood-co/,80150
https://www.cars.com/shopping/escondido-ca/,92030
https://www.cars.com/shopping/evansville-in/,47722
https://www.cars.com/shopping/fairfield-oh/,45014
https://www.cars.com/shopping/fort_myers-fl/,33916
https://www.cars.com/shopping/fort_wayne-in/,46805
https://www.cars.com/shopping/fort_worth-tx/,76164
https://www.cars.com/shopping/franklin-tn/,37068
https://www.cars.com/shopping/frederick-md/,21709
https://www.cars.com/shopping/freehold-nj/,07728
https://www.cars.com/shopping/fremont-ca/,94538
https://www.cars.com/shopping/fresno-ca/,93755
https://www.cars.com/shopping/gainesville-fl/,32605
https://www.cars.com/shopping/gilbert-az/,85295
https://www.cars.com/shopping/glendale-ca/,91207
https://www.cars.com/shopping/grand_rapids-mi/,49515
https://www.cars.com/shopping/grapevine-tx/,76099
https://www.cars.com/shopping/green_bay-wi/,54302
https://www.cars.com/shopping/greensboro-nc/,27429
https://www.cars.com/shopping/greenville-sc/,29604
https://www.cars.com/shopping/hagerstown-md/,21741
https://www.cars.com/shopping/henderson-nv/,89012
https://www.cars.com/shopping/honolulu-hi/,96813
https://www.cars.com/shopping/huntington_beach-ca/,92648
https://www.cars.com/shopping/indianapolis-in/,46288
https://www.cars.com/shopping/jackson-ms/,39298
https://www.cars.com/shopping/jacksonville-fl/,32203
https://www.cars.com/shopping/jersey_city-nj/,07304
https://www.cars.com/shopping/johnson_city-tn/,37684
https://www.cars.com/shopping/kansas_city-mo/,64179
https://www.cars.com/shopping/katy-tx/,77491
https://www.cars.com/shopping/kirkland-wa/,98083
https://www.cars.com/shopping/knoxville-tn/,37996
https://www.cars.com/shopping/lafayette-la/,70593
https://www.cars.com/shopping/lakeland-fl/,33802
https://www.cars.com/shopping/lakewood-co/,80232
https://www.cars.com/shopping/las_vegas-nv/,89129
https://www.cars.com/shopping/laurel-md/,20726
https://www.cars.com/shopping/lincoln-ne/,68544
https://www.cars.com/shopping/little_rock-ar/,72222
https://www.cars.com/shopping/longmont-co/,80501
https://www.cars.com/shopping/los_angeles-ca/,90134
https://www.cars.com/shopping/louisville-ky/,40225
https://www.cars.com/shopping/lubbock-tx/,79410
https://www.cars.com/shopping/madison-wi/,53785
https://www.cars.com/shopping/marietta-ga/,30006
https://www.cars.com/shopping/mckinney-tx/,75070
https://www.cars.com/shopping/memphis-tn/,38114
https://www.cars.com/shopping/miami-fl/,33136
https://www.cars.com/shopping/midland-tx/,79708
https://www.cars.com/shopping/milwaukee-wi/,53210
https://www.cars.com/shopping/minneapolis-mn/,55404
https://www.cars.com/shopping/mooresville-nc/,28115
https://www.cars.com/shopping/naperville-il/,60540
https://www.cars.com/shopping/naples-fl/,34106
https://www.cars.com/shopping/nashville-tn/,37219
https://www.cars.com/shopping/ocala-fl/,34478
https://www.cars.com/shopping/oklahoma_city-ok/,73102
https://www.cars.com/shopping/olathe-ks/,66051
https://www.cars.com/shopping/omaha-ne/,68114
https://www.cars.com/shopping/orlando-fl/,32812
https://www.cars.com/shopping/pensacola-fl/,32503
https://www.cars.com/shopping/peoria-az/,85383
https://www.cars.com/shopping/philadelphia-pa/,19140
https://www.cars.com/shopping/phoenix-az/,85069
https://www.cars.com/shopping/pittsburgh-pa/,15219
https://www.cars.com/shopping/plano-tx/,75023
https://www.cars.com/shopping/portland-or/,97283
https://www.cars.com/shopping/puyallup-wa/,98371
https://www.cars.com/shopping/raleigh-nc/,27668
https://www.cars.com/shopping/ramsey-nj/,07446
https://www.cars.com/shopping/redford-mi/,48239
https://www.cars.com/shopping/reno-nv/,89503
https://www.cars.com/shopping/richmond-va/,23290
https://www.cars.com/shopping/riverside-ca/,92522
https://www.cars.com/shopping/rochester-ny/,14650
https://www.cars.com/shopping/rockwall-tx/,75087
https://www.cars.com/shopping/roseville-ca/,95678
https://www.cars.com/shopping/roswell-ga/,30077
https://www.cars.com/shopping/sacramento-ca/,94299
https://www.cars.com/shopping/salem-or/,97309
https://www.cars.com/shopping/salt_lake_city-ut/,84151
https://www.cars.com/shopping/san_antonio-tx/,78201
https://www.cars.com/shopping/san_diego-ca/,92142
https://www.cars.com/shopping/san_jose-ca/,95111
https://www.cars.com/shopping/santa_monica-ca/,90404
https://www.cars.com/shopping/sarasota-fl/,34276
https://www.cars.com/shopping/schaumburg-il/,60159
https://www.cars.com/shopping/scottsdale-az/,85255
https://www.cars.com/shopping/seattle-wa/,98191
https://www.cars.com/shopping/sioux_falls-sd/,57193
https://www.cars.com/shopping/southfield-mi/,48086
https://www.cars.com/shopping/spokane-wa/,99201
https://www.cars.com/shopping/spring-tx/,77373
https://www.cars.com/shopping/springfield-mo/,65806
https://www.cars.com/shopping/sterling-va/,20164
https://www.cars.com/shopping/stockton-ca/,95211
https://www.cars.com/shopping/tacoma-wa/,98415
https://www.cars.com/shopping/tallahassee-fl/,32399
https://www.cars.com/shopping/tampa-fl/,33673
https://www.cars.com/shopping/taylor-mi/,48180
https://www.cars.com/shopping/temecula-ca/,92593
https://www.cars.com/shopping/toledo-oh/,43657
https://www.cars.com/shopping/troy-mi/,48007
https://www.cars.com/shopping/tucson-az/,85707
https://www.cars.com/shopping/tulsa-ok/,74112
https://www.cars.com/shopping/tyler-tx/,75701
https://www.cars.com/shopping/union_city-ga/,30291
https://www.cars.com/shopping/virginia_beach-va/,23456
https://www.cars.com/shopping/waldorf-md/,20604
https://www.cars.com/shopping/west_palm_beach-fl/,33422
